iter	Passed	Remaining
0	1	103
1	1	69
2	1	56
3	2	48
4	2	45
5	2	42
6	3	39
7	3	38
8	3	37
9	4	36
10	4	35
11	4	35
12	5	35
13	5	34
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	28
23	8	27
24	9	29
25	10	29
26	10	28
27	10	28
28	11	27
29	11	27
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	13	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	15	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	21	14
60	22	14
61	22	13
62	22	13
63	23	12
64	23	12
65	23	12
66	24	11
67	24	11
68	24	11
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	29	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	31	3
89	32	3
90	32	3
91	32	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
