iter	Passed	Remaining
0	1	1032
1	1	688
2	1	553
3	2	523
4	2	496
5	2	484
6	3	462
7	3	452
8	4	455
9	4	447
10	4	444
11	5	442
12	5	437
13	6	427
14	6	427
15	6	424
16	7	421
17	7	421
18	8	418
19	8	415
20	8	411
21	9	408
22	9	406
23	10	406
24	10	405
25	10	404
26	11	404
27	11	402
28	11	399
29	12	399
30	12	398
31	13	397
32	13	397
33	13	397
34	14	398
35	14	396
36	15	395
37	15	395
38	16	394
39	16	394
40	16	393
41	17	391
42	17	389
43	17	388
44	18	385
45	18	385
46	19	387
47	19	390
48	20	389
49	20	387
50	20	384
51	20	382
52	21	379
53	21	378
54	21	377
55	22	375
56	22	372
57	22	370
58	23	370
59	23	368
60	23	366
61	24	366
62	24	367
63	25	366
64	25	364
65	25	363
66	26	362
67	26	360
68	26	359
69	27	358
70	27	358
71	27	357
72	28	357
73	28	356
74	28	356
75	29	355
76	29	355
77	30	355
78	30	354
79	30	353
80	31	352
81	31	352
82	31	350
83	32	351
84	32	351
85	33	351
86	33	351
87	33	349
88	34	349
89	34	350
90	35	350
91	35	350
92	35	350
93	36	350
94	36	348
95	36	347
96	37	346
97	37	346
98	38	346
99	38	346
100	38	346
101	39	347
102	39	347
103	40	348
104	40	347
105	41	347
106	41	347
107	41	346
108	42	344
109	42	343
110	42	343
111	43	343
112	43	342
113	44	342
114	44	341
115	44	340
116	44	339
117	45	338
118	45	337
119	45	336
120	46	335
121	46	334
122	46	334
123	47	332
124	47	332
125	47	331
126	48	330
127	48	329
128	48	329
129	49	329
130	49	329
131	49	328
132	50	327
133	50	325
134	50	325
135	51	324
136	51	324
137	51	323
138	52	323
139	52	322
140	52	322
141	53	320
142	53	320
143	53	319
144	54	318
145	54	318
146	54	318
147	55	317
148	55	317
149	55	316
150	56	315
151	56	315
152	56	314
153	57	313
154	57	313
155	57	313
156	58	312
157	58	312
158	58	311
159	59	311
160	59	310
161	59	310
162	60	309
163	60	309
164	61	309
165	61	308
166	61	307
167	62	307
168	62	306
169	62	307
170	63	306
171	63	307
172	64	306
173	64	305
174	64	305
175	65	305
176	65	305
177	65	304
178	66	304
179	66	303
180	67	303
181	67	303
182	67	302
183	68	302
184	69	305
185	69	304
186	70	304
187	70	304
188	70	303
189	71	303
190	71	302
191	71	302
192	72	301
193	72	301
194	72	301
195	73	300
196	73	300
197	73	299
198	74	298
199	74	297
200	74	297
201	75	296
202	75	296
203	75	295
204	76	295
205	76	294
206	76	294
207	77	294
208	77	293
209	77	293
210	78	293
211	78	292
212	79	292
213	79	291
214	79	291
215	80	290
216	80	290
217	80	289
218	81	289
219	81	289
220	82	289
221	82	289
222	82	288
223	83	287
224	83	287
225	83	287
226	84	286
227	84	286
228	85	286
229	85	285
230	85	285
231	86	285
232	86	284
233	86	284
234	87	284
235	87	284
236	88	283
237	88	283
238	89	283
239	89	283
240	89	282
241	90	282
242	91	283
243	91	283
244	91	283
245	92	283
246	92	282
247	93	282
248	93	281
249	93	281
250	94	281
251	94	281
252	95	280
253	95	280
254	95	279
255	96	279
256	96	279
257	96	278
258	97	278
259	97	278
260	98	277
261	98	277
262	98	277
263	99	276
264	99	276
265	99	275
266	100	275
267	100	275
268	101	274
269	101	274
270	101	273
271	101	272
272	102	272
273	102	271
274	102	271
275	103	270
276	103	270
277	103	269
278	104	269
279	104	268
280	104	267
281	105	267
282	105	267
283	105	267
284	106	266
285	106	266
286	107	265
287	107	265
288	107	264
289	107	264
290	108	263
291	108	263
292	108	262
293	109	262
294	109	262
295	110	262
296	110	261
297	110	261
298	111	260
299	111	260
300	111	259
301	112	259
302	112	258
303	112	258
304	113	258
305	113	257
306	113	257
307	114	256
308	114	256
309	115	255
310	115	255
311	115	255
312	116	254
313	116	254
314	116	253
315	117	253
316	117	253
317	117	252
318	118	252
319	118	251
320	118	251
321	119	250
322	119	250
323	120	250
324	120	250
325	120	249
326	121	249
327	121	248
328	121	248
329	122	248
330	122	248
331	123	247
332	123	247
333	124	247
334	124	247
335	124	246
336	125	246
337	125	245
338	125	245
339	126	244
340	126	244
341	127	244
342	127	244
343	127	243
344	128	243
345	128	242
346	128	242
347	129	242
348	129	241
349	129	241
350	130	240
351	130	240
352	130	239
353	131	239
354	131	238
355	131	238
356	132	237
357	132	237
358	132	236
359	133	236
360	133	236
361	133	235
362	134	235
363	134	234
364	134	234
365	135	234
366	135	233
367	135	233
368	136	232
369	136	232
370	137	232
371	137	232
372	137	231
373	138	231
374	138	231
375	139	230
376	139	230
377	139	229
378	139	229
379	140	228
380	140	228
381	140	227
382	141	227
383	141	226
384	141	226
385	142	226
386	142	225
387	142	225
388	143	224
389	143	224
390	143	224
391	144	224
392	144	223
393	145	223
394	145	222
395	145	222
396	146	222
397	146	221
398	146	221
399	147	220
400	147	220
401	147	219
402	148	219
403	148	219
404	148	218
405	149	218
406	149	217
407	149	217
408	150	217
409	150	216
410	150	216
411	151	215
412	151	215
413	151	215
414	152	214
415	152	214
416	153	213
417	153	213
418	153	213
419	154	212
420	154	212
421	154	211
422	155	211
423	155	211
424	155	210
425	156	210
426	156	210
427	156	209
428	157	209
429	157	208
430	157	208
431	158	208
432	158	207
433	158	207
434	159	206
435	159	206
436	160	206
437	160	205
438	160	205
439	161	205
440	161	204
441	161	204
442	162	203
443	162	203
444	162	203
445	163	202
446	163	202
447	163	202
448	164	201
449	165	202
450	165	201
451	166	201
452	166	200
453	166	200
454	167	200
455	167	199
456	168	199
457	168	199
458	168	198
459	169	198
460	169	197
461	169	197
462	169	197
463	170	196
464	170	196
465	171	195
466	171	195
467	171	195
468	172	194
469	172	194
470	172	193
471	173	193
472	173	193
473	173	192
474	174	192
475	174	192
476	174	191
477	175	191
478	175	190
479	175	190
480	176	190
481	176	189
482	176	189
483	177	188
484	177	188
485	177	188
486	178	187
487	178	187
488	179	187
489	179	186
490	180	186
491	180	186
492	180	185
493	180	185
494	181	184
495	181	184
496	181	183
497	181	183
498	182	182
499	182	182
500	182	182
501	183	181
502	183	181
503	183	180
504	183	180
505	184	179
506	184	179
507	184	178
508	184	178
509	185	177
510	185	177
511	185	177
512	186	176
513	186	176
514	186	175
515	186	175
516	187	174
517	187	174
518	187	173
519	187	173
520	188	173
521	188	172
522	188	172
523	188	171
524	189	171
525	189	170
526	189	170
527	190	169
528	190	169
529	190	168
530	190	168
531	191	168
532	191	167
533	191	167
534	191	166
535	192	166
536	192	165
537	192	165
538	192	165
539	193	164
540	193	164
541	193	163
542	194	163
543	194	162
544	194	162
545	194	162
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	159
553	197	158
554	197	158
555	197	157
556	197	157
557	198	156
558	198	156
559	198	156
560	198	155
561	199	155
562	199	154
563	199	154
564	200	154
565	200	153
566	200	153
567	201	152
568	201	152
569	201	152
570	201	151
571	202	151
572	202	150
573	202	150
574	202	150
575	203	149
576	203	149
577	203	148
578	204	148
579	204	147
580	204	147
581	204	147
582	205	146
583	205	146
584	205	145
585	206	145
586	206	145
587	206	144
588	206	144
589	207	143
590	207	143
591	207	143
592	207	142
593	208	142
594	208	141
595	208	141
596	209	141
597	209	140
598	209	140
599	209	139
600	210	139
601	210	139
602	210	138
603	210	138
604	211	137
605	211	137
606	211	137
607	211	136
608	212	136
609	212	135
610	212	135
611	213	135
612	213	134
613	213	134
614	213	133
615	214	133
616	214	133
617	214	132
618	215	132
619	215	131
620	215	131
621	215	131
622	216	130
623	216	130
624	216	130
625	216	129
626	217	129
627	217	128
628	217	128
629	218	128
630	218	127
631	218	127
632	218	126
633	219	126
634	219	126
635	219	125
636	219	125
637	220	124
638	220	124
639	220	124
640	221	123
641	221	123
642	221	123
643	221	122
644	222	122
645	222	121
646	222	121
647	223	121
648	223	120
649	223	120
650	223	120
651	224	119
652	224	119
653	224	118
654	225	118
655	225	118
656	225	117
657	225	117
658	226	116
659	226	116
660	226	116
661	226	115
662	227	115
663	227	115
664	227	114
665	227	114
666	228	113
667	228	113
668	228	113
669	229	112
670	229	112
671	229	112
672	229	111
673	230	111
674	230	110
675	230	110
676	231	110
677	231	109
678	231	109
679	231	109
680	232	108
681	232	108
682	232	107
683	233	107
684	233	107
685	233	106
686	234	106
687	234	106
688	234	105
689	235	105
690	235	105
691	235	104
692	236	104
693	236	104
694	236	103
695	236	103
696	237	103
697	237	102
698	238	102
699	238	102
700	238	101
701	238	101
702	239	101
703	239	100
704	239	100
705	240	100
706	240	99
707	240	99
708	241	99
709	241	98
710	241	98
711	242	98
712	242	97
713	242	97
714	243	96
715	243	96
716	244	96
717	244	95
718	244	95
719	244	95
720	245	94
721	245	94
722	245	94
723	246	93
724	246	93
725	246	93
726	247	92
727	247	92
728	248	92
729	248	91
730	248	91
731	249	91
732	249	90
733	249	90
734	250	90
735	250	89
736	250	89
737	251	89
738	251	88
739	252	88
740	252	88
741	252	87
742	253	87
743	253	87
744	253	86
745	254	86
746	254	86
747	254	85
748	255	85
749	255	85
750	255	84
751	256	84
752	256	84
753	256	83
754	257	83
755	257	83
756	257	82
757	258	82
758	258	82
759	258	81
760	259	81
761	259	81
762	259	80
763	260	80
764	260	79
765	260	79
766	260	79
767	261	78
768	261	78
769	261	78
770	262	77
771	262	77
772	262	77
773	263	76
774	263	76
775	263	76
776	264	75
777	264	75
778	264	75
779	265	74
780	265	74
781	265	74
782	266	73
783	266	73
784	266	73
785	267	72
786	267	72
787	267	72
788	268	71
789	268	71
790	268	71
791	269	70
792	269	70
793	269	69
794	270	69
795	270	69
796	270	68
797	271	68
798	271	68
799	271	67
800	271	67
801	272	67
802	272	66
803	272	66
804	273	66
805	273	65
806	273	65
807	274	65
808	274	64
809	274	64
810	275	64
811	275	63
812	275	63
813	276	63
814	276	62
815	276	62
816	277	62
817	277	61
818	277	61
819	278	61
820	278	60
821	278	60
822	279	60
823	279	59
824	279	59
825	280	59
826	280	58
827	281	58
828	281	58
829	281	57
830	282	57
831	282	57
832	283	56
833	283	56
834	283	56
835	284	55
836	284	55
837	284	55
838	285	54
839	285	54
840	285	54
841	286	53
842	286	53
843	286	53
844	287	52
845	287	52
846	287	52
847	288	51
848	288	51
849	288	50
850	289	50
851	289	50
852	289	49
853	290	49
854	290	49
855	290	48
856	291	48
857	291	48
858	292	47
859	292	47
860	292	47
861	293	46
862	293	46
863	293	46
864	294	45
865	294	45
866	294	45
867	295	44
868	295	44
869	295	44
870	296	43
871	296	43
872	296	43
873	297	42
874	297	42
875	297	42
876	298	41
877	298	41
878	298	41
879	299	40
880	299	40
881	299	40
882	300	39
883	300	39
884	300	39
885	301	38
886	301	38
887	301	38
888	302	37
889	302	37
890	302	37
891	303	36
892	303	36
893	304	36
894	304	35
895	305	35
896	305	35
897	306	34
898	306	34
899	306	34
900	307	33
901	307	33
902	308	33
903	308	32
904	308	32
905	309	32
906	309	31
907	309	31
908	310	31
909	310	30
910	311	30
911	311	30
912	311	29
913	312	29
914	312	29
915	312	28
916	313	28
917	313	27
918	313	27
919	314	27
920	314	26
921	314	26
922	315	26
923	315	25
924	315	25
925	316	25
926	316	24
927	316	24
928	317	24
929	317	23
930	317	23
931	318	23
932	318	22
933	318	22
934	319	22
935	319	21
936	319	21
937	320	21
938	320	20
939	321	20
940	321	20
941	321	19
942	322	19
943	322	19
944	322	18
945	323	18
946	323	18
947	323	17
948	324	17
949	324	17
950	324	16
951	325	16
952	325	16
953	325	15
954	326	15
955	326	15
956	326	14
957	327	14
958	327	13
959	327	13
960	328	13
961	328	12
962	328	12
963	328	12
964	329	11
965	329	11
966	330	11
967	330	10
968	330	10
969	330	10
970	331	9
971	331	9
972	331	9
973	332	8
974	332	8
975	332	8
976	333	7
977	333	7
978	333	7
979	334	6
980	334	6
981	334	6
982	335	5
983	335	5
984	335	5
985	336	4
986	336	4
987	336	4
988	337	3
989	337	3
990	337	3
991	338	2
992	339	2
993	339	2
994	339	1
995	340	1
996	340	1
997	340	0
998	341	0
999	341	0
